200 3734
109 94 1300
109 185 6645
109 29 6874
109 19 8398
109 16 1470
109 38 4946
110 197 752
110 33 1987
110 145 6100
110 118 9404
110 74 6732
110 126 1074
110 103 492
110 35 4986
110 137 8849
110 165 4098
110 85 6061
110 87 1220
110 45 8318
110 64 6712
110 16 4253
111 197 4084
111 144 5457
111 114 2028
111 64 2664
111 27 3102
111 191 5724
111 162 8772
111 152 1941
111 28 4496
111 106 6461
111 29 1006
111 130 9138
111 133 6768
111 18 786
111 160 9703
111 21 3061
112 23 3202
112 141 131
112 80 5209
112 181 2525
112 95 556
112 77 3501
112 183 9038
112 164 1493
112 155 7916
112 106 4855
112 50 6455
112 133 9084
112 5 1523
112 45 9497
112 173 7339
112 66 2272
112 59 4586
112 97 7970
112 60 2571
112 31 5232
112 149 8737
112 49 2936
112 158 384
112 128 7646
112 107 7449
112 103 7410
112 54 2280
112 196 5664
113 80 918
113 33 653
113 26 5554
113 72 8783
113 101 5025
113 108 4343
113 132 5384
113 116 8037
113 184 5000
113 88 7323
113 105 3389
113 187 6333
113 190 698
113 136 1985
113 96 713
113 91 4627
113 103 5249
114 29 9479
114 180 8491
114 189 3103
114 111 2028
114 192 6814
114 141 6389
114 72 8351
114 115 3113
114 152 9628
114 53 7353
114 129 169
114 107 2033
114 1 509
114 47 9481
114 35 491
114 17 8916
114 22 9961
114 27 715
114 31 7618
114 76 9691
114 117 7877
114 193 4001
114 103 1319
114 194 950
115 152 4384
115 176 8237
115 75 9141
115 25 9234
115 9 7828
115 98 5826
115 52 4974
115 146 9829
115 81 2609
115 128 9073
115 86 4292
115 76 7292
115 90 1118
115 106 9599
115 144 3826
115 80 1418
115 114 3113
115 62 1914
115 39 984
115 91 1106
115 88 6612
115 129 7466
115 166 3002
115 61 3325
115 117 1400
115 94 3351
116 78 2733
116 26 4222
116 113 8037
116 179 8100
116 32 6066
116 105 7900
116 62 7420
116 107 9865
116 82 8492
116 186 8640
116 176 4513
116 192 5907
116 57 657
116 4 6772
116 28 2639
116 10 1494
117 98 9546
117 198 3937
117 42 7075
117 79 9044
117 102 2690
117 56 1935
117 114 7877
117 83 8517
117 86 4221
117 196 3367
117 1 2598
117 49 2897
117 138 7763
117 17 6267
117 115 1400
118 14 374
118 23 5080
118 4 3627
118 6 8548
118 123 2089
118 181 8130
118 18 6389
118 85 1103
118 31 6950
118 166 3980
118 35 8641
118 43 8009
118 45 5919
118 177 8280
118 110 9404
118 128 6290
119 80 109
119 154 742
119 130 731
119 84 6418
119 72 6216
119 30 7373
119 170 276
119 168 1891
119 157 9159
119 90 929
119 121 6262
119 37 9314
119 95 8127
119 14 961
119 87 519
119 79 4118
119 39 1377
119 163 5190
119 169 3512
119 195 618
119 3 7712
119 32 1915
119 19 7407
119 46 2688
119 196 2825
119 105 9931
120 40 7761
120 62 3852
120 72 2288
120 94 2734
120 86 5231
120 95 1105
120 164 5927
120 26 5789
120 18 45
120 155 6823
120 60 2232
120 185 557
120 45 5280
120 179 3328
120 159 5812
120 75 6893
120 64 2386
120 5 1863
120 178 8907
120 28 8875
120 51 5676
120 105 9334
121 4 7640
121 80 2258
121 197 6503
121 119 6262
121 136 1321
121 156 196
121 29 4538
121 7 8740
121 58 8819
121 32 1616
121 168 7187
121 62 4146
121 92 3820
121 173 2977
121 64 772
121 175 8822
121 191 8607
121 162 1978
121 132 3868
121 74 1469
121 165 7148
121 148 8116
121 55 45
122 78 6208
122 8 5339
122 174 8206
122 168 1575
122 162 3519
122 166 6713
122 135 6346
122 28 9166
122 192 1495
122 128 7248
122 189 2018
122 3 9641
122 148 3231
122 27 85
122 179 7378
123 14 2734
123 198 3494
123 6 14
123 104 9214
123 107 4582
123 89 1724
123 118 2089
123 128 1603
123 155 3252
123 46 133
123 36 6227
123 184 2833
123 103 8757
123 65 9600
123 124 6491
123 145 8805
123 193 7461
124 141 169
124 159 6581
124 42 3497
124 123 6491
124 77 8897
124 20 393
124 67 1881
124 158 1871
124 147 9015
124 165 9798
124 136 7389
124 56 553
124 11 6181
124 70 9090
124 45 3291
124 48 2594
125 33 68
125 174 9049
125 95 2918
125 53 8055
125 1 2910
125 63 1316
125 76 1866
125 88 5013
125 58 1051
125 23 923
125 173 2616
125 188 231
125 172 8516
125 196 4520
125 138 9933
125 183 9921
125 7 5671
126 14 9603
126 4 2626
126 159 2981
126 86 938
126 181 8921
126 104 8616
126 179 7437
126 191 3990
126 161 4513
126 108 526
126 155 308
126 110 1074
126 134 5003
126 38 5442
126 76 9596
126 180 7177
127 4 6809
127 160 7535
127 26 9897
127 39 6104
127 50 3623
127 137 4070
127 60 1403
127 156 6373
127 2 9366
127 16 9808
127 56 3032
127 139 2527
127 14 5683
127 99 1409
127 167 3757
127 135 1753
127 161 6644
127 146 8152
128 14 9663
128 115 9073
128 123 1603
128 92 557
128 50 2988
128 190 2969
128 118 6290
128 157 6816
128 132 2790
128 184 6340
128 198 1861
128 112 7646
128 122 7248
128 85 4645
128 82 6835
128 100 2585
128 196 1761
128 12 7543
129 6 8526
129 114 169
129 101 8822
129 77 2338
129 79 7315
129 47 9534
129 85 518
129 175 7122
129 184 5624
129 109 2465
129 143 8022
129 167 5371
129 25 3006
129 159 6896
129 115 7466
130 119 731
130 8 56
130 26 5707
130 45 4995
130 36 7590
130 30 1357
130 184 8489
130 178 616
130 92 4321
130 58 7021
130 82 3350
130 174 4482
130 66 5827
130 39 2415
130 194 9430
130 156 2265
130 20 9049
130 64 2494
130 43 2686
130 137 5927
130 190 3430
130 147 9252
130 111 9138
130 48 7922
130 38 5228
131 14 359
131 98 4615
131 159 4356
131 75 5903
131 22 6076
131 43 8232
131 163 8626
131 11 834
131 57 6343
131 61 6925
131 82 3458
131 64 4632
131 134 6294
131 167 6270
131 2 7006
131 63 5258
131 9 701
131 103 2921
131 21 3749
132 198 2394
132 113 5384
132 99 6235
132 138 5668
132 28 5605
132 19 3158
132 38 6093
132 85 3874
132 82 4163
132 25 220
132 182 6434
132 22 1561
132 147 2848
132 6 1515
132 121 3868
132 128 2790
132 51 6108
132 37 822
133 80 7218
133 112 9084
133 136 3740
133 77 2482
133 39 8146
133 43 8489
133 18 2703
133 27 7750
133 168 900
133 99 2091
133 190 9959
133 139 4720
133 182 8242
133 191 4297
133 85 837
133 153 8438
133 67 3803
133 49 5168
133 111 6768
134 197 6226
134 198 4072
134 92 611
134 79 5793
134 175 4490
134 36 980
134 131 6294
134 71 7486
134 146 9557
134 158 120
134 11 295
134 65 9957
134 135 277
134 16 5204
134 84 9313
134 126 5003
134 38 4731
135 23 4561
135 4 7583
135 20 6435
135 174 6978
135 150 9733
135 190 1432
135 173 5665
135 144 6397
135 127 1753
135 122 6346
135 48 8870
135 82 520
135 158 8349
135 184 7630
135 78 6920
135 10 4651
135 134 277
135 194 5727
135 13 862
136 161 3867
136 195 4280
136 32 3824
136 84 4271
136 168 9520
136 54 1795
136 170 1530
136 197 9069
136 121 1321
136 194 2497
136 109 8659
136 199 7784
136 133 3740
136 145 1770
136 179 6712
136 26 7201
136 40 4659
136 174 5712
136 85 6222
136 113 1985
136 25 9252
136 184 6683
136 81 1410
136 88 9027
136 178 2753
136 124 7389
137 188 9118
137 100 7179
137 42 4573
137 51 1097
137 52 9847
137 97 4668
137 25 5379
137 102 6815
137 130 5927
137 84 4368
137 141 7873
137 23 7592
137 127 4070
137 157 5287
137 78 1911
137 91 4130
137 155 5737
137 67 1415
137 10 5274
137 110 8849
138 200 679
138 160 9903
138 26 7028
138 101 2903
138 51 8756
138 132 5668
138 43 7966
138 92 8081
138 1 7897
138 173 8556
138 33 6961
138 71 1230
138 46 2861
138 27 5919
138 188 893
138 169 7499
138 178 6590
138 125 9933
138 76 5684
138 117 7763
138 54 6262
138 140 5447
139 197 1387
139 98 1236
139 92 6764
139 181 5457
139 176 8187
139 182 2355
139 133 4720
139 158 3452
139 196 3989
139 73 4429
139 90 7847
139 155 2101
139 194 6967
139 69 9031
139 94 7117
139 127 2527
139 162 4511
139 9 8702
139 37 8209
140 1 547
140 17 6441
140 97 6528
140 158 4030
140 151 5290
140 68 9625
140 138 5447
140 43 4483
140 169 2231
140 9 4164
140 155 5002
140 188 6224
140 102 6371
140 166 9830
140 65 5377
141 154 3189
141 68 3541
141 106 675
141 79 7919
141 104 8163
141 24 6863
141 63 5608
141 6 8201
141 75 9238
141 150 2635
141 124 169
141 14 4478
141 112 131
141 164 6500
141 198 2622
141 114 6389
141 185 6821
141 59 9127
141 64 159
141 137 7873
141 81 4033
141 76 1970
141 48 7942
142 66 778
142 17 8017
142 104 6237
142 18 333
142 47 5298
142 81 425
142 91 9165
142 150 2599
142 5 1196
142 34 7792
142 155 6614
142 169 7507
142 86 1664
142 100 2995
142 190 8071
142 2 7732
142 71 6039
142 145 5379
142 37 6434
143 23 7544
143 6 3111
143 22 8604
143 108 973
143 25 109
143 81 9811
143 43 1172
143 186 8431
143 14 5849
143 129 8022
143 101 4043
143 76 1080
143 98 4301
143 155 2443
143 177 3885
143 36 5112
143 153 9941
143 96 9275
143 15 1042
143 176 5063
144 115 3826
144 173 8694
144 29 6453
144 98 7199
144 68 2278
144 195 653
144 102 7885
144 30 1617
144 111 5457
144 33 4842
144 13 9988
144 44 2277
144 86 8809
144 148 3618
144 35 3088
144 40 7773
144 101 3620
144 22 9363
144 184 5223
144 135 6397
144 90 6224
144 3 286
144 100 6606
145 200 2754
145 1 649
145 136 1770
145 26 6698
145 64 2686
145 174 7253
145 47 9484
145 108 522
145 44 2889
145 123 8805
145 71 6128
145 142 5379
145 20 8100
145 78 7245
145 110 6100
145 100 5513
145 55 3343
146 115 9829
146 22 3621
146 47 2960
146 60 2318
146 5 5309
146 127 8152
146 7 4824
146 134 9557
146 18 9001
146 31 2838
146 17 5363
146 68 3896
146 72 4265
146 188 5716
146 167 53
146 107 7863
146 38 4401
147 26 5760
147 59 2652
147 163 7222
147 95 1279
147 132 2848
147 124 9015
147 5 1088
147 34 9759
147 96 6737
147 38 8392
147 41 1859
147 167 5547
147 130 9252
147 149 6380
147 58 2268
147 93 7808
148 160 3996
148 144 3618
148 185 2815
148 64 6420
148 18 590
148 30 4761
148 173 6726
148 179 6375
148 70 7232
148 155 6604
148 122 3231
148 192 4835
148 36 9551
148 121 8116
148 29 3253
149 14 4353
149 59 2406
149 188 1004
149 163 9898
149 70 2367
149 83 6824
149 187 9581
149 174 2825
149 73 5234
149 112 8737
149 55 3089
149 18 2665
149 176 2256
149 190 3756
149 180 3408
149 147 6380
150 141 2635
150 1 2184
150 16 1681
150 41 7279
150 36 117
150 135 9733
150 11 4803
150 98 2094
150 58 4858
150 142 2599
150 73 8062
150 9 4540
150 18 5151
150 24 5670
150 52 635
150 190 5244
150 88 6771
150 53 663
150 7 9032
150 93 9214
151 80 6729
151 156 6170
151 24 785
151 27 5916
151 174 1847
151 168 9217
151 99 4991
151 88 2296
151 178 5980
151 96 5644
151 83 163
151 13 9630
151 140 5290
151 189 9733
151 163 3625
152 161 6940
152 58 5878
152 48 5836
152 9 1088
152 8 1258
152 46 9551
152 189 8141
152 199 2698
152 109 2744
152 65 3596
152 186 2076
152 115 4384
152 50 5768
152 193 5445
152 90 4428
152 80 9607
152 114 9628
152 62 7405
152 79 6520
152 27 2125
152 111 1941
152 19 9752
152 93 6544
153 17 8546
153 99 4561
153 70 6533
153 164 8749
153 29 5447
153 25 2478
153 72 542
153 143 9941
153 173 7614
153 77 4484
153 50 4906
153 165 898
153 133 8438
153 33 6575
153 67 6205
153 100 9523
154 141 3189
154 119 742
154 198 5079
154 156 8063
154 62 3239
154 20 2399
154 18 454
154 49 2963
154 187 1809
154 168 6318
154 200 230
154 185 1449
154 93 4074
154 78 8424
154 84 5422
154 41 902
154 60 6668
154 170 5972
154 19 4321
154 21 1846
154 199 5787
155 57 894
155 14 4447
155 98 5516
155 112 7916
155 123 3252
155 120 6823
155 25 3243
155 139 2101
155 143 2443
155 65 5534
155 142 6614
155 96 1252
155 137 5737
155 148 6604
155 61 5302
155 126 308
155 37 610
155 140 5002
155 194 6769
156 66 2966
156 42 6540
156 82 4692
156 53 4663
156 151 6170
156 7 7028
156 85 6670
156 29 5084
156 154 8063
156 130 2265
156 108 7040
156 34 8642
156 121 196
156 175 2206
156 69 9960
156 70 4831
156 127 6373
156 37 7715
157 119 9159
157 26 8
157 86 4448
157 101 1394
157 187 7185
157 137 5287
157 99 6819
157 11 8498
157 2 8644
157 158 1882
157 128 6816
157 175 1598
157 72 605
157 24 9541
157 28 6881
157 15 2137
158 78 6368
158 187 6715
158 91 5554
158 139 3452
158 169 1710
158 135 8349
158 63 5710
158 195 4913
158 140 4030
158 157 1882
158 124 1871
158 181 970
158 112 384
158 87 4082
158 134 120
159 4 6134
159 160 4244
159 61 50
159 180 5758
159 6 9501
159 194 9392
159 43 9622
159 100 6568
159 126 2981
159 73 4970
159 131 4356
159 124 6581
159 1 7421
159 52 7817
159 74 8961
159 198 8331
159 42 5952
159 120 5812
159 87 20
159 36 6044
159 84 8764
159 129 6896
159 2 1398
159 51 3018
159 193 3787
160 14 7861
160 138 9903
160 127 7535
160 49 8649
160 85 3614
160 189 1531
160 57 2059
160 159 4244
160 183 9294
160 148 3996
160 87 8713
160 180 625
160 179 2543
160 91 384
160 42 2383
160 1 6462
160 77 106
160 28 9060
160 111 9703
160 19 3998
161 152 6940
161 14 4276
161 23 6864
161 78 6311
161 136 3867
161 42 4793
161 62 4145
161 79 8396
161 127 6644
161 69 6172
161 126 4513
161 56 9812
161 196 9730
161 102 8231
161 88 1727
161 28 9218
162 4 3925
162 98 6140
162 6 6898
162 59 392
162 194 1484
162 122 3519
162 57 6484
162 121 1978
162 179 9719
162 139 4511
162 199 7750
162 40 3057
162 111 8772
162 96 3738
162 45 3437
162 186 6115
162 48 202
163 1 8165
163 101 6034
163 41 5257
163 173 5800
163 15 819
163 13 3871
163 149 9898
163 131 8626
163 181 5594
163 119 5190
163 61 449
163 42 1279
163 68 4921
163 100 9710
163 147 7222
163 44 19
163 49 4689
163 192 2763
163 151 3625
163 89 4056
164 141 6500
164 112 1493
164 42 348
164 120 5927
164 43 6850
164 87 3630
164 184 9775
164 170 329
164 153 8749
164 10 3867
164 172 9551
164 74 8628
164 195 9731
164 105 4662
164 24 7313
164 183 616
164 176 8682
165 23 209
165 6 6474
165 79 3769
165 187 1292
165 50 2668
165 153 898
165 166 4222
165 74 2603
165 21 2152
165 121 7148
165 124 9798
165 83 1556
165 65 3706
165 7 6020
165 41 3742
165 110 4098
166 23 8078
166 98 2365
166 79 8727
166 173 6918
166 44 6954
166 167 7081
166 118 3980
166 165 4222
166 168 4400
166 17 4763
166 9 8703
166 122 6713
166 20 6087
166 169 5531
166 115 3002
166 35 2817
166 55 3687
166 140 9830
167 23 2134
167 188 6550
167 187 9539
167 43 8121
167 18 7626
167 127 3757
167 180 6184
167 87 1023
167 79 821
167 83 8201
167 3 3878
167 129 5371
167 85 8111
167 193 8117
167 166 7081
167 131 6270
167 146 53
167 147 5547
167 45 1164
167 199 2002
167 93 5671
168 119 1891
168 8 2077
168 136 9520
168 87 9717
168 154 6318
168 121 7187
168 133 900
168 122 1575
168 85 6194
168 173 3860
168 59 4171
168 27 1579
168 69 2358
168 151 9217
168 22 4357
168 70 1296
168 34 3924
168 166 4400
168 10 9496
168 52 1135
169 14 4334
169 175 9165
169 177 2275
169 45 663
169 20 5991
169 63 5161
169 119 3512
169 104 3713
169 187 9226
169 192 8604
169 109 383
169 158 1710
169 55 7796
169 1 8701
169 138 7499
169 142 7507
169 166 5531
169 107 669
169 15 7486
169 54 2297
169 140 2231
170 119 276
170 1 2621
170 198 8090
170 136 1530
170 33 3649
170 18 4990
170 177 2775
170 44 6941
170 84 2437
170 2 9343
170 154 5972
170 164 329
170 45 8061
170 71 1540
170 94 9319
171 188 6982
171 101 4084
171 16 3483
171 67 1395
171 61 6889
171 49 9737
171 182 4705
171 94 9960
171 10 2030
171 33 3914
171 185 5114
171 71 6703
171 6 3723
171 18 4404
171 72 8574
172 200 6889
172 42 5384
172 72 3154
172 104 562
172 174 3434
172 102 6573
172 175 5354
172 35 993
172 73 2240
172 164 9551
172 29 5831
172 80 7716
172 77 4772
172 2 1439
172 60 2782
172 125 8516
172 13 2071
173 112 7339
173 1 2070
173 144 8694
173 33 5950
173 17 7313
173 20 2677
173 18 7257
173 121 2977
173 168 3860
173 32 9632
173 148 6726
173 82 592
173 163 5800
173 192 2551
173 166 6918
173 179 4235
173 138 8556
173 44 5519
173 95 4093
173 153 7614
173 135 5665
173 61 4804
173 125 2616
173 193 4809
173 46 2970
174 130 4482
174 89 859
174 73 2582
174 135 6978
174 68 7083
174 136 5712
174 91 3419
174 125 9049
174 122 8206
174 145 7253
174 72 2020
174 151 1847
174 172 3434
174 108 5670
174 99 5676
174 179 1887
174 149 2825
174 90 6915
175 156 2206
175 187 2865
175 27 211
175 199 3780
175 67 5049
175 121 8822
175 169 9165
175 134 4490
175 65 7921
175 26 6166
175 172 5354
175 197 5910
175 8 1023
175 129 7122
175 14 6719
175 184 9108
175 70 3257
175 58 3676
175 157 1598
176 200 1710
176 115 8237
176 6 3513
176 33 3259
176 187 1129
176 191 3353
176 139 8187
176 149 2256
176 116 4513
176 46 9924
176 143 5063
176 51 1626
176 164 8682
176 107 6807
176 74 8130
177 86 7011
177 92 3183
177 24 394
177 64 7661
177 102 4463
177 43 9545
177 22 8714
177 190 1333
177 14 6742
177 8 8509
177 170 2775
177 82 7883
177 169 2275
177 32 6903
177 53 9853
177 60 5346
177 143 3885
177 178 7548
177 118 8280
177 3 7098
178 130 616
178 72 5129
178 70 3395
178 13 4195
178 120 8907
178 11 1697
178 151 5980
178 16 1715
178 138 6590
178 102 1335
178 17 7465
178 49 9748
178 177 7548
178 35 5775
178 136 2753
178 28 3643
178 76 8434
179 80 7730
179 160 2543
179 136 6712
179 120 3328
179 56 5285
179 50 2503
179 186 9994
179 180 665
179 104 8828
179 90 3150
179 74 1224
179 148 6375
179 174 1887
179 126 7437
179 173 4235
179 162 9719
179 116 8100
179 34 8529
179 52 3505
179 122 7378
180 160 625
180 159 5758
180 114 8491
180 59 2436
180 86 4605
180 39 9507
180 85 5526
180 179 665
180 191 6313
180 31 3599
180 149 3408
180 167 6184
180 89 6613
180 9 5996
180 126 7177
180 105 342
181 112 2525
181 187 7957
181 41 5236
181 118 8130
181 185 9713
181 139 5457
181 76 3276
181 40 2339
181 11 8449
181 34 5268
181 102 3586
181 126 8921
181 106 5333
181 93 4072
181 91 5061
181 191 4845
181 163 5594
181 158 970
181 51 159
182 27 6235
182 47 8383
182 99 2898
182 139 2355
182 5 8807
182 133 8242
182 132 6434
182 56 7268
182 74 1874
182 35 7370
182 64 4702
182 107 8314
182 54 439
182 171 4705
182 2 7909
182 21 2448
183 160 9294
183 112 9038
183 102 9635
183 99 3578
183 81 3062
183 88 5548
183 11 595
183 96 5940
183 53 5305
183 105 7723
183 26 4843
183 57 9094
183 70 5333
183 125 9921
183 164 616
183 38 5214
184 6 8022
184 130 8489
184 188 199
184 40 4307
184 123 2833
184 101 9592
184 113 5000
184 129 5624
184 144 5223
184 175 9108
184 136 6683
184 164 9775
184 86 802
184 57 7593
184 29 9798
184 81 4486
184 35 7438
184 135 7630
184 28 4165
184 10 3208
184 128 6340
185 57 9773
185 105 1034
185 90 7285
185 52 8926
185 83 9307
185 97 7066
185 148 2815
185 25 3574
185 197 3141
185 50 3969
185 11 2046
185 141 6821
185 76 3675
185 108 8700
185 60 6671
185 188 701
185 120 557
185 181 9713
185 154 1449
185 30 3847
185 16 6281
185 109 6645
185 171 5114
185 19 5897
185 196 1340
186 57 8816
186 152 2076
186 197 1325
186 42 9392
186 188 5028
186 92 7981
186 179 9994
186 191 8256
186 58 8994
186 143 8431
186 116 8640
186 162 6115
186 71 7144
186 189 8129
186 195 2100
186 68 2529
186 103 9655
187 14 4875
187 200 6768
187 176 1129
187 37 4106
187 7 9523
187 175 2865
187 19 108
187 107 2611
187 167 9539
187 157 7185
187 24 9328
187 181 7957
187 42 3076
187 158 6715
187 165 1292
187 50 2486
187 154 1809
187 113 6333
187 169 9226
187 149 9581
187 10 4787
188 23 4237
188 198 9115
188 137 9118
188 184 199
188 101 8532
188 167 6550
188 54 4884
188 149 1004
188 28 3817
188 196 89
188 52 7806
188 55 5182
188 185 701
188 186 5028
188 171 6982
188 97 4696
188 138 893
188 125 231
188 146 5716
188 140 6224
189 152 8141
189 160 1531
189 8 2781
189 114 3103
189 86 1116
189 40 4264
189 77 5703
189 50 7032
189 47 5940
189 85 1148
189 60 4416
189 69 5216
189 186 8129
189 198 9431
189 122 2018
189 51 8900
189 151 9733
189 193 2376
190 4 7537
190 200 6000
190 47 5893
190 113 698
190 130 3430
190 135 1432
190 150 5244
190 61 9776
190 69 8023
190 133 9959
190 128 2969
190 100 6675
190 17 7001
190 106 3306
190 9 3614
190 177 1333
190 31 5056
190 149 3756
190 142 8071
190 15 6855
190 105 2519
191 77 5136
191 126 3990
191 176 3353
191 94 8319
191 186 8256
191 121 8607
191 87 6922
191 44 8131
191 103 9684
191 75 1404
191 181 4845
191 50 5027
191 180 6313
191 111 5724
191 37 3574
191 133 4297
192 114 6814
192 97 6412
192 77 562
192 39 7455
192 22 4607
192 104 4220
192 27 5345
192 85 545
192 173 2551
192 91 6626
192 169 8604
192 116 5907
192 49 3114
192 163 2763
192 122 1495
192 148 4835
193 152 5445
193 167 8117
193 114 4001
193 55 8584
193 58 6167
193 189 2376
193 159 3787
193 96 8832
193 79 7738
193 21 495
193 28 9442
193 62 6611
193 123 7461
193 99 4567
193 173 4809
193 46 200
194 200 2916
194 159 9392
194 136 2497
194 130 9430
194 42 6499
194 92 427
194 139 6967
194 162 1484
194 73 8522
194 99 5833
194 155 6769
194 114 950
194 46 2430
194 79 5785
194 135 5727
195 23 3180
195 4 2491
195 197 5338
195 144 653
195 136 4280
195 6 2234
195 158 4913
195 186 2100
195 200 8115
195 61 8929
195 46 8207
195 164 9731
195 119 618
195 19 5039
195 67 5738
196 188 89
196 39 9268
196 139 3989
196 95 232
196 61 5578
196 161 9730
196 125 4520
196 117 3367
196 103 697
196 46 9633
196 26 6755
196 112 5664
196 128 1761
196 119 2825
196 185 1340
197 54 2224
197 186 1325
197 121 6503
197 134 6226
197 68 8224
197 24 9338
197 25 3876
197 139 1387
197 81 5541
197 44 4901
197 195 5338
197 37 9189
197 111 4084
197 86 9715
197 110 752
197 136 9069
197 185 3141
197 104 4175
197 175 5910
198 141 2622
198 170 8090
198 44 2620
198 188 9115
198 41 7216
198 1 1725
198 154 5079
198 84 6000
198 16 2224
198 117 3937
198 123 3494
198 159 8331
198 69 6285
198 132 2394
198 134 4072
198 77 5082
198 50 3799
198 65 3576
198 36 6281
198 28 367
198 128 1861
198 189 9431
199 152 2698
199 8 1919
199 136 7784
199 59 8959
199 24 2839
199 175 3780
199 31 5565
199 162 7750
199 65 12
199 76 6879
199 9 71
199 89 2447
199 34 8197
199 167 2002
199 154 5787
200 108 9977
200 103 6852
200 145 2754
200 41 2623
200 187 6768
200 190 6000
200 16 2849
200 194 2916
200 5 4010
200 172 6889
200 39 4320
200 176 1710
200 60 3270
200 138 679
200 43 8944
200 98 2691
200 1 8022
200 104 7084
200 154 230
200 91 1989
200 67 476
200 76 4624
200 195 8115
200 37 7542
200 54 4900
